Hypothesis,Ground Truth,Response
किम ने उन्नीस सौ तिरनवे में फिल्म उद्योग से सन्यास ले लिया उनकी आखिरी फिल्में प्रतिक हनिमून बलबान मुस्करराहट और बुलन में अतिथी भूमिकाएँ थी,किम ने उन्नीस सौ तिरानवे में फ़िल्म उद्योग से संन्यास ले लिया उनकी आखिरी फ़िल्में प्रतिकार हनीमून बलवान मुस्कुराहट और बुलंद में अतिथि भूमिकाएँ थीं,"किम ने उन्नीस सौ तिरानवे में फिल्म उद्योग से सन्यास ले लिया। उनकी आखिरी फिल्में 'प्रतिक्षा', 'हनीमून', 'बलबन', 'मुस्कराहट' और 'बुलन' में अतिथि भूमिकाएँ थीं।"
वह राजनीती से संबंधित एक सम्मानित परिवार से थे खासकर जब से उनके पिता हैरात के राज्यपाल होने के नाते अफगानों की रक्षा करते हुए लड़ाई में मारे गए थे,वह राजनीति से संबंधित एक सम्मानित परिवार से थे ख़ासकर जबसे उनके पिता हैरात के राज्यपाल होने के नाते अफ़गानों की रक्षा करते हुए लड़ाई में मारे गए थे,"वह राजनीति से संबंधित एक सम्मानित परिवार से थे, खासकर जब से उनके पिता हैरात के राज्यपाल होने के नाते अफगानों की रक्षा करते हुए लड़ाई में मारे गए थे।"
मोदी अपने दैनिक जीवन में क्या करते हैं,मोदी अपने दैनिक जीवन में क्या करते हैं,मोदी अपने दैनिक जीवन में क्या करते हैं?
मीडिया प्लेयर खोलेें और मेरी जिम प्ले लिस्ट चलाए,मीडिया प्लेयर खोलें और मेरी जिम प्लेलिस्ट चलाए,मीडिया प्लेयर खोलें और मेरी जिम प्लेलिस्ट चलाए।
मैं नौ सौ रुपये की एवी टी खरीदना चाहता हूँ,मैं नौ सौ रुपये की एबीटी खरीदना चाहता हूँ,मैं नौ सौ रुपये की एवीटी खरीदना चाहता हूँ।
मैं इंग्लिश ओवन बेस पिज़्ज़ा डव ब्यूटी मॉइश्चर फेस वॉश और निशान कप नूडल्स हटाना चाहता हूँ क्या आप उन्हें मेरी खरीदारी सूची से हटा सकते हैं,मैं इंग्लिश ओवन बेस पिज़्ज़ा डव ब्यूटी मॉइश्चर फेसवॉश और निसान कप नूडल्स हटाना चाहता हूँ क्या आप उन्हें मेरी ख़रीददारी सूची से हटा सकते हैं,"मैं इंग्लिश ओवन बेस पिज्जा, डव ब्यूटी मॉइश्चर फेस वॉश और निशान कप नूडल्स हटाना चाहता हूँ। क्या आप उन्हें मेरी खरीदारी सूची से हटा सकते हैं?"
कृपया पेयू मनी का इस्तेमाल करके मेरे फ़ोन का मौजूदा प्लान से रिचार्ज करें और वही रकम संपर्क बहन को ट्रांसफ़र करें,कृपया पेयू मनी का इस्तेमाल करके मेरे फोन का मौजूदा प्लान से रिचार्ज करें और वही रकम संपर्क बहन को ट्रांसफ़र करें,कृपया पेयू मनी का इस्तेमाल करके मेरे फोन के मौजूदा प्लान से रिचार्ज करें और वही रकम संपर्क में बहन को ट्रांसफर करें।
क्या मैं अपने एजुकेशन लोन को त्रिपुरा ग्रामीण बैंक पर ओला मनी के माध्यम से वापस भुगतान कर सकता हूँ,क्या मैं अपने एजुकेशन लोन को त्रिपुरा ग्रामीण बैंक पर ओला मनी के माध्यम से वापस भुगतान कर सकता हूँ,क्या मैं अपने एजुकेशन लोन को त्रिपुरा ग्रामीण बैंक पर ओला मनी के माध्यम से वापस भुगतान कर सकता हूँ?
क्या आप चेक कर सकते हैं कि बनारस हि्ंदू विश्वविद्यालय शैक्षणिक वर्ष दो हज़ार उन्नीस दो हज़ार बीस में ए आई सी टी ई अनुमोदित संस्थान था या नहीं,क्या आप चेक कर सकते हैं कि बनारस हिन्दू विश्वविद्यालय शैक्षणिक वर्ष दो हज़ार उन्नीस दो हज़ार बीस में एआईसीटीई अनुमोदित संस्थान था या नहीं,क्या आप चेक कर सकते हैं कि बनारस हिंदू विश्वविद्यालय शैक्षणिक वर्ष दो हजार उन्नीस दो हजार बीस में एआईसीटीई अनुमोदित संस्थान था या नहीं?
मुझे अपने फ़ोन नंबर सेवन नाइन ऐट सिक्स वन फाइव ऐट ज़ीरो सिक्स फोर सेवन के लिए कोविड वैक्सीन प्रमाणपत्र डाउनलोड करना है,मुझे अपने फ़ोन नम्बर सेवन नाइन एट सिक्स वन फ़ाइव एट ज़ीरो सिक्स फोर सेवन के लिए कोविड वैक्सीन प्रमाणपत्र डाउनलोड करना है,मुझे अपने फ़ोन नंबर 7896158407 के लिए कोविड वैक्सीन प्रमाणपत्र डाउनलोड करना है।
बिल्ली,बिल्ली,बिल्ली
चार,चार,चार
एक जनवरी उन्नीस सौ अट्ठानवे दो फरवरी दो हज़ार बारह,एक जनवरी उन्नीस सौ अट्ठानवे दो फरवरी दो हज़ार बारह,एक जनवरी उन्नीस सौ अठासी दो फरवरी दो हजार बारह
तीन मार्च दो हज़ार उन्नीस चार दिसम्बर दो हज़ार पंद्रह सोलह मई उन्नीस सौ पचास,तीन मार्च दो हज़ार उन्नीस चार दिसम्बर दो हज़ार पंद्रह सोलह मई उन्नीस सौ पचास,"तीन मार्च दो हज़ार उननीस, चार दिसम्बर दो हज़ार पंद्रह, सोलह मई उन्नीस सौ पचास"
थने,ठाणे,थने
नागपुर,नागपुर,नागपुर
पण,पुणे,पण
यवतमाान,यवतमाल,यवतामान
चंद्रपुर,चंद्रपुर,चंद्रपुर
भारत का जो पहनावा है जो फैशन है वो काफ़ी साल में बहुत बदलता हुआ दिखाई देता है जैसे मेरी,भारत का जो पहनावा है जो फ़ैशन है वो काफ़ी साल में बहुत बदलता हुआ दिखाई देता है जैसे मेरी,"भारत का जो पहनावा है, जो फैशन है, वो काफी सालों में बहुत बदलता हुआ दिखाई देता है, जैसे मेरी"
उसको महत्व दिया करते थे लोग पर अभी के आज के दिनों में,उसको महत्त्व दिया करते थे लोग पर अभी के आज के दिनों में,उसको महत्व दिया करते थे लोग पर अभी के दिनों में
फ़ास्ट फैशन आए है और जो ब्रांडस है जो सारी कंपनियाँ हैं जो फैशन को प्रमोट करते हैं वो,फ़ास्ट फ़ैशन आये है और जो ब्रांड्स है जो सारी कंपनियाँ है जो फ़ैशन को प्रमोट करती है वो,"फास्ट फैशन आया है और जो ब्रांड हैं, जो सारी कंपनियाँ हैं जो फैशन को प्रमोट करते हैं वो"
काफ़ी कम क्वालिटी और कम प्राइज़ में फैशनेबल कपड़े अवेलेबल कराते हैं मार्केट्स में उसकी वजह से,काफ़ी कम क्वालिटी और कम प्राइस में फ़ैशनेबल कपड़े अवेलेबल कराते हैं मार्केट्स में उसकी वजह से,"काफी कम क्वालिटी और कम प्राइस में फैशनेबल कपड़े मार्केट्स में उपलब्ध कराते हैं, उसकी वजह से।"
जो फैशन के ट्रेंड्स हैं वो चेंज वो बहुत बदलते रहते हैं हर दिन,जो फ़ैशन के ट्रेंड्स है वो चेंज वो बहुत बदलते रहते हैं हर दिन,"जो फैशन के ट्रेंड्स हैं, वो बहुत बदलते रहते हैं हर दिन।"
एक एक हफ़्ते में जो फैशन के ब्रांडस हैं उनके जो दुकान हैं वहाँ प हर जो एक,एक एक हफ़्ते में जो फ़ैशन के ब्रांड्स है उनके जो दुकान है वहाँ पे हर जो एक,"एक हफ़्ते में जो फैशन के ब्रांड्स हैं, उनके जो दुकानें हैं, वहाँ पर हर एक"
स्प्रिंगंग का अलग एक,स्प्रिंग का अलग एक,स्प्रिंग का अलग एक
सिलक्शन या समर् का सलेक्शन एस जो एक वेस्टर्न एक पश्चमत्य,सिलेक्शन या समर का सिलेक्शन ऐसा जो एक वेस्टर्न एक पश्चिमात्य,सिलेक्शन या समर का सिलेक्शन एस जो एक वेस्टर्न या पश्चिमी
